KEY,LABEL,PROBA
HRBI-5343,consistency,99.98
HRBI-5341,accuracy,90.69
HRBI-927,conformity,99.43
HRBI-870,conformity,94.23
HRBI-156,accuracy,56.12
HRBI-2591,timeliness,99.68
HRBI-2493,accuracy,99.76
HRBI-2152,timeliness,78.89
HRBI-1449,accuracy,99.38
HRBI-1441,accuracy,94.85
HRBI-1389,conformity,91.09
HRBI-1174,timeliness,94.62
HRBI-1056,accuracy,99.49
HRBI-1017,accuracy,94.86
HRBI-6224,timeliness,99.89
HRBI-6287,timeliness,93.53
HRBI-6248,accuracy,93.09
HRBI-6032,conformity,95.63
HRBI-6193,conformity,55.62
HRBI-6085,accuracy,53.35
HRBI-5531,accuracy,99.39
HRBI-6077,conformity,99.91
HRBI-6083,timeliness,74.66
HRBI-5694,completeness,70.29
HRBI-6076,accuracy,99.82
HRBI-6114,timeliness,90.91
HRBI-6115,integrity,74.98
HRBI-5992,conformity,62.61
HRBI-6181,conformity,61.15
HRBI-3998,consistency,72.08
HRBI-3680,accuracy,99.69
HRBI-5415,accuracy,99.55
HRBI-6092,integrity,39.86
HRBI-6098,timeliness,70.95
HRBI-6045,integrity,62.2
HRBI-6044,integrity,52.18
HRBI-6042,conformity,99.18
HRBI-6041,timeliness,92.13
HRBI-6043,timeliness,57.37
HRBI-6047,conformity,91.22
HRBI-6065,integrity,51.7
HRBI-6095,conformity,91.07
HRBI-6026,accuracy,95.75
HRBI-6097,accuracy,99.81
HRBI-6066,timeliness,51.82
HRBI-6081,integrity,53.14
HRBI-6100,integrity,88.78
HRBI-5569,completeness,95.21
HRBI-6094,accuracy,99.62
HRBI-6019,integrity,86.19
HRBI-6078,accuracy,99.16
HRBI-6084,completeness,68.95
HRBI-5875,integrity,99.71
HRBI-5922,timeliness,44.35
HRBI-6037,conformity,99.89
HRBI-5076,accuracy,96.69
HRBI-5470,accuracy,99.77
HRBI-6027,conformity,88.25
HRBI-6010,accuracy,56.37
HRBI-5909,accuracy,99.59
HRBI-5932,accuracy,95.69
HRBI-5936,timeliness,94.45
HRBI-5707,accuracy,99.75
HRBI-3092,conformity,99.87
HRBI-5670,conformity,89.0
HRBI-5605,accuracy,99.11
HRBI-5606,consistency,97.56
HRBI-5744,accuracy,99.11
HRBI-5615,accuracy,99.59
HRBI-5639,conformity,99.67
HRBI-5821,accuracy,99.12
HRBI-5315,timeliness,95.17
HRBI-3371,conformity,52.99
HRBI-4088,timeliness,58.46
HRBI-5773,accuracy,94.47
HRBI-5717,completeness,68.6
HRBI-5595,accuracy,99.49
HRBI-5347,conformity,93.64
HRBI-5140,completeness,63.27
HRBI-5116,consistency,58.03
HRBI-4994,conformity,58.59
HRBI-4979,timeliness,44.35
HRBI-4930,conformity,44.48
HRBI-4744,conformity,91.85
HRBI-4713,accuracy,99.39
HRBI-4577,integrity,77.44
HRBI-4452,accuracy,47.83
HRBI-4432,timeliness,42.85
HRBI-4281,conformity,92.62
HRBI-4265,accuracy,96.49
HRBI-4175,accuracy,99.77
HRBI-4163,accuracy,99.68
HRBI-4148,accuracy,99.68
HRBI-4126,accuracy,99.47
HRBI-4123,timeliness,49.76
HRBI-4101,consistency,55.22
HRBI-4086,integrity,72.56
HRBI-4001,accuracy,94.59
HRBI-3951,timeliness,98.56
HRBI-3935,conformity,38.88
HRBI-3931,accuracy,95.62
HRBI-3926,integrity,68.63
HRBI-3905,timeliness,85.54
HRBI-3835,timeliness,43.53
HRBI-3831,accuracy,99.64
HRBI-3794,integrity,85.99
HRBI-3779,integrity,67.68
HRBI-3778,accuracy,95.39
HRBI-3656,conformity,73.24
HRBI-3585,accuracy,99.68
HRBI-3568,accuracy,99.67
HRBI-3542,accuracy,99.73
HRBI-3449,accuracy,99.33
HRBI-3445,accuracy,98.28
HRBI-3404,accuracy,99.12
HRBI-3403,integrity,57.72
HRBI-3397,completeness,99.89
HRBI-3376,timeliness,70.86
HRBI-3373,accuracy,99.77
HRBI-3341,accuracy,97.55
HRBI-3335,timeliness,43.9
HRBI-3278,conformity,99.03
HRBI-3268,consistency,82.41
HRBI-3259,integrity,99.88
HRBI-3219,integrity,59.53
HRBI-3204,timeliness,36.76
HRBI-3198,timeliness,78.11
HRBI-3192,completeness,91.23
HRBI-3175,timeliness,33.91
HRBI-3109,accuracy,99.91
HRBI-3099,timeliness,91.28
HRBI-3063,accuracy,99.73
HRBI-3036,accuracy,99.65
HRBI-3029,accuracy,99.49
HRBI-3003,conformity,63.56
HRBI-2958,conformity,99.2
HRBI-2953,accuracy,94.92
HRBI-2930,timeliness,76.01
HRBI-2918,accuracy,99.77
HRBI-2915,conformity,69.59
HRBI-2910,accuracy,95.03
HRBI-2788,timeliness,82.87
HRBI-2782,timeliness,81.11
HRBI-2674,conformity,89.33
HRBI-2639,accuracy,96.77
HRBI-2594,conformity,94.81
HRBI-2592,timeliness,85.75
HRBI-2580,conformity,94.44
HRBI-2579,consistency,99.89
HRBI-2578,accuracy,99.35
HRBI-2577,completeness,99.72
HRBI-2508,timeliness,72.62
HRBI-2506,timeliness,96.85
HRBI-2504,accuracy,99.51
HRBI-2489,conformity,90.59
HRBI-2479,conformity,87.89
HRBI-2455,accuracy,98.59
HRBI-2432,accuracy,99.57
HRBI-2431,accuracy,99.49
HRBI-2378,accuracy,90.93
HRBI-2342,conformity,85.13
HRBI-2311,conformity,99.94
HRBI-2236,timeliness,28.31
HRBI-2192,accuracy,99.78
HRBI-2174,conformity,97.0
HRBI-2171,conformity,99.99
HRBI-2037,accuracy,99.73
HRBI-1950,accuracy,99.58
HRBI-1946,accuracy,99.77
HRBI-1831,accuracy,99.37
HRBI-1783,accuracy,99.47
